2026-05-26 01:10:33,084 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:33,084 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:33,084 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:33,182 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:33,182 | INFO | src.transformation | Ratio tension moyen : 1.83
2026-05-26 01:10:33,182 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:33,187 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:33,281 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:33,281 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:33,281 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:33,292 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:33,824 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:33,824 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:33,824 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:33,824 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:33,899 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:33,899 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:33,899 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:33,904 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:33,982 | INFO | src.transformation | IMC moyen : 27.8
2026-05-26 01:10:33,982 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:33,982 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:33,992 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:34,589 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:34,589 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:34,589 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:34,589 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:34,665 | INFO | src.transformation | IMC moyen : 27.8
2026-05-26 01:10:34,666 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:34,667 | INFO | src.transformation | Pression pulsée moyenne : 59.8
2026-05-26 01:10:34,670 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:34,765 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:34,771 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:34,771 | INFO | src.transformation | Pression pulsée moyenne : 59.7
2026-05-26 01:10:34,775 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:35,383 | INFO | src.transformation | IMC moyen : 28.3
2026-05-26 01:10:35,387 | INFO | src.transformation | Ratio tension moyen : 1.81
2026-05-26 01:10:35,387 | INFO | src.transformation | Pression pulsée moyenne : 59.0
2026-05-26 01:10:35,387 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:35,465 | INFO | src.transformation | IMC moyen : 27.9
2026-05-26 01:10:35,465 | INFO | src.transformation | Ratio tension moyen : 1.82
2026-05-26 01:10:35,465 | INFO | src.transformation | Pression pulsée moyenne : 59.7
2026-05-26 01:10:35,465 | INFO | src.transformation | Colonnes conservées : 20
2026-05-26 01:10:35,587 | INFO | src.transformation | IMC moyen : 28.0
